state_name,state_code,party
Alabama,AL,republican
Alaska,AK,republican
Arizona,AZ,republican
Arkansas,AR,republican
California,CA,democrat
Colorado,CO,democrat
Connecticut,CT,democrat
Delaware,DE,democrat
Florida,FL,republican
Georgia,GA,republican
Hawaii,HI,democrat
Idaho,ID,republican
Illinois,IL,democrat
Indiana,IN,republican
Iowa,IA,republican
Kansas,KS,democrat
Kentucky,KY,republican
Louisiana,LA,democrat
Maine,ME,democrat
Maryland,MD,republican
Massachusetts,MA,republican
Michigan,MI,democrat
Minnesota,MN,democrat
Mississippi,MS,republican
Missouri,MO,republican
Montana,MT,democrat
Nebraska,NE,republican
Nevada,NV,democrat
New Hampshire,NH,republican
New Jersey,NJ,democrat
New Mexico,NM,democrat
New York,NY,democrat
North Carolina,NC,democrat
North Dakota,ND,republican
Ohio,OH,republican
Oklahoma,OK,republican
Oregon,OR,democrat
Pennsylvania,PA,democrat
Rhode Island,RI,democrat
South Carolina,SC,republican
South Dakota,SD,republican
Tennessee,TN,republican
Texas,TX,republican
Utah,UT,republican
Vermont,VT,republican
Virginia,VA,democrat
Washington,WA,democrat
West Virginia,WV,democrat
Wisconsin,WI,democrat
Wyoming,WY,republican
