date,positive,probableCases,negative,policy_date,state_name,state_code,party
2020-12-04,34041.0,,1016328.0,2020-04-27,Alaska,AK,republican
2020-12-03,33291.0,,1007214.0,2020-04-27,Alaska,AK,republican
2020-12-02,32531.0,,992112.0,2020-04-27,Alaska,AK,republican
2020-12-01,31834.0,,986794.0,2020-04-27,Alaska,AK,republican
2020-11-30,31323.0,,980073.0,2020-04-27,Alaska,AK,republican
2020-11-29,30816.0,,975364.0,2020-04-27,Alaska,AK,republican
2020-11-28,30204.0,,968850.0,2020-04-27,Alaska,AK,republican
2020-11-27,29554.0,,961219.0,2020-04-27,Alaska,AK,republican
2020-11-26,28892.0,,940681.0,2020-04-27,Alaska,AK,republican
2020-11-25,28339.0,,925937.0,2020-04-27,Alaska,AK,republican
2020-11-24,27669.0,,915732.0,2020-04-27,Alaska,AK,republican
2020-11-23,27085.0,,905931.0,2020-04-27,Alaska,AK,republican
2020-11-22,26587.0,,899774.0,2020-04-27,Alaska,AK,republican
2020-11-21,26044.0,,892701.0,2020-04-27,Alaska,AK,republican
2020-11-20,25369.0,,879343.0,2020-04-27,Alaska,AK,republican
2020-11-19,24909.0,,873890.0,2020-04-27,Alaska,AK,republican
2020-11-18,24419.0,,861139.0,2020-04-27,Alaska,AK,republican
2020-11-17,23874.0,,854748.0,2020-04-27,Alaska,AK,republican
2020-11-16,23240.0,,849107.0,2020-04-27,Alaska,AK,republican
2020-11-15,22662.0,,844720.0,2020-04-27,Alaska,AK,republican
2020-11-14,22020.0,,840244.0,2020-04-27,Alaska,AK,republican
2020-11-13,21286.0,,823380.0,2020-04-27,Alaska,AK,republican
2020-11-12,20702.0,,823964.0,2020-04-27,Alaska,AK,republican
2020-11-11,20221.0,,814369.0,2020-04-27,Alaska,AK,republican
2020-11-10,19734.0,,808406.0,2020-04-27,Alaska,AK,republican
2020-11-09,19196.0,,748801.0,2020-04-27,Alaska,AK,republican
2020-11-08,18732.0,,761442.0,2020-04-27,Alaska,AK,republican
2020-11-07,18221.0,,762473.0,2020-04-27,Alaska,AK,republican
2020-11-06,17618.0,,763683.0,2020-04-27,Alaska,AK,republican
2020-11-05,17111.0,,764715.0,2020-04-27,Alaska,AK,republican
2020-11-04,16798.0,,610960.0,2020-04-27,Alaska,AK,republican
2020-11-03,16390.0,,608365.0,2020-04-27,Alaska,AK,republican
2020-11-02,16007.0,,604163.0,2020-04-27,Alaska,AK,republican
2020-11-01,15663.0,,588544.0,2020-04-27,Alaska,AK,republican
2020-10-31,15312.0,,588895.0,2020-04-27,Alaska,AK,republican
2020-10-30,14858.0,,571465.0,2020-04-27,Alaska,AK,republican
2020-10-29,14481.0,,569787.0,2020-04-27,Alaska,AK,republican
2020-10-28,14131.0,,566468.0,2020-04-27,Alaska,AK,republican
2020-10-27,13779.0,,563650.0,2020-04-27,Alaska,AK,republican
2020-10-26,13391.0,,557453.0,2020-04-27,Alaska,AK,republican
2020-10-25,13041.0,,546928.0,2020-04-27,Alaska,AK,republican
2020-10-24,12523.0,,540223.0,2020-04-27,Alaska,AK,republican
2020-10-23,12167.0,,540579.0,2020-04-27,Alaska,AK,republican
2020-10-22,11919.0,,536790.0,2020-04-27,Alaska,AK,republican
2020-10-21,11680.0,,535460.0,2020-04-27,Alaska,AK,republican
2020-10-20,11456.0,,535069.0,2020-04-27,Alaska,AK,republican
2020-10-19,11225.0,,524998.0,2020-04-27,Alaska,AK,republican
2020-10-18,11021.0,,521690.0,2020-04-27,Alaska,AK,republican
2020-10-17,10811.0,,519689.0,2020-04-27,Alaska,AK,republican
2020-10-16,10601.0,,512063.0,2020-04-27,Alaska,AK,republican
2020-10-15,10380.0,,509081.0,2020-04-27,Alaska,AK,republican
2020-10-14,10214.0,,506963.0,2020-04-27,Alaska,AK,republican
2020-10-13,10059.0,,504730.0,2020-04-27,Alaska,AK,republican
2020-10-12,9903.0,,496024.0,2020-04-27,Alaska,AK,republican
2020-10-11,9712.0,,493285.0,2020-04-27,Alaska,AK,republican
2020-10-10,9462.0,,489791.0,2020-04-27,Alaska,AK,republican
2020-10-09,9232.0,,483838.0,2020-04-27,Alaska,AK,republican
2020-10-08,9045.0,,482126.0,2020-04-27,Alaska,AK,republican
2020-10-07,8911.0,,481163.0,2020-04-27,Alaska,AK,republican
2020-10-06,8790.0,,470584.0,2020-04-27,Alaska,AK,republican
2020-10-05,8643.0,,470731.0,2020-04-27,Alaska,AK,republican
2020-10-04,8447.0,,468371.0,2020-04-27,Alaska,AK,republican
2020-10-03,8306.0,,464950.0,2020-04-27,Alaska,AK,republican
2020-10-02,8167.0,,461123.0,2020-04-27,Alaska,AK,republican
2020-10-01,8026.0,,454297.0,2020-04-27,Alaska,AK,republican
2020-09-30,7889.0,,449318.0,2020-04-27,Alaska,AK,republican
2020-09-29,7785.0,,443271.0,2020-04-27,Alaska,AK,republican
2020-09-28,7663.0,,437128.0,2020-04-27,Alaska,AK,republican
2020-09-27,7549.0,,435320.0,2020-04-27,Alaska,AK,republican
2020-09-26,7439.0,,435430.0,2020-04-27,Alaska,AK,republican
2020-09-25,7320.0,,434012.0,2020-04-27,Alaska,AK,republican
2020-09-24,7194.0,,426004.0,2020-04-27,Alaska,AK,republican
2020-09-23,7063.0,,426135.0,2020-04-27,Alaska,AK,republican
2020-09-22,6987.0,,424204.0,2020-04-27,Alaska,AK,republican
2020-09-21,6930.0,,421715.0,2020-04-27,Alaska,AK,republican
2020-09-20,6860.0,,420065.0,2020-04-27,Alaska,AK,republican
2020-09-19,6752.0,,416098.0,2020-04-27,Alaska,AK,republican
2020-09-18,6658.0,,411635.0,2020-04-27,Alaska,AK,republican
2020-09-17,6551.0,,409312.0,2020-04-27,Alaska,AK,republican
2020-09-16,6443.0,,402121.0,2020-04-27,Alaska,AK,republican
2020-09-15,6393.0,,400731.0,2020-04-27,Alaska,AK,republican
2020-09-14,6350.0,,397063.0,2020-04-27,Alaska,AK,republican
2020-09-13,6275.0,,394938.0,2020-04-27,Alaska,AK,republican
2020-09-12,6214.0,,393415.0,2020-04-27,Alaska,AK,republican
2020-09-11,6111.0,,388475.0,2020-04-27,Alaska,AK,republican
2020-09-10,6022.0,,387055.0,2020-04-27,Alaska,AK,republican
2020-09-09,5908.0,,386029.0,2020-04-27,Alaska,AK,republican
2020-09-08,5843.0,,385813.0,2020-04-27,Alaska,AK,republican
2020-09-07,5810.0,,382811.0,2020-04-27,Alaska,AK,republican
2020-09-06,5776.0,,381281.0,2020-04-27,Alaska,AK,republican
2020-09-05,5681.0,,379321.0,2020-04-27,Alaska,AK,republican
2020-09-04,5594.0,,376343.0,2020-04-27,Alaska,AK,republican
2020-09-03,5475.0,,372461.0,2020-04-27,Alaska,AK,republican
2020-09-02,5387.0,,371497.0,2020-04-27,Alaska,AK,republican
2020-09-01,5321.0,,368934.0,2020-04-27,Alaska,AK,republican
2020-08-31,5286.0,,343344.0,2020-04-27,Alaska,AK,republican
2020-08-30,5250.0,,341589.0,2020-04-27,Alaska,AK,republican
2020-08-29,5207.0,,340488.0,2020-04-27,Alaska,AK,republican
2020-08-28,5114.0,,334424.0,2020-04-27,Alaska,AK,republican
2020-08-27,4998.0,,331222.0,2020-04-27,Alaska,AK,republican
2020-08-26,4914.0,,329890.0,2020-04-27,Alaska,AK,republican
2020-08-25,4862.0,,328969.0,2020-04-27,Alaska,AK,republican
2020-08-24,4829.0,,325674.0,2020-04-27,Alaska,AK,republican
2020-08-23,4758.0,,322682.0,2020-04-27,Alaska,AK,republican
2020-08-22,4692.0,,321595.0,2020-04-27,Alaska,AK,republican
2020-08-21,4604.0,,316931.0,2020-04-27,Alaska,AK,republican
2020-08-20,4535.0,,308112.0,2020-04-27,Alaska,AK,republican
2020-08-19,4452.0,,306397.0,2020-04-27,Alaska,AK,republican
2020-08-18,4379.0,,305630.0,2020-04-27,Alaska,AK,republican
2020-08-17,4313.0,,301335.0,2020-04-27,Alaska,AK,republican
2020-08-16,4263.0,,297252.0,2020-04-27,Alaska,AK,republican
2020-08-15,4162.0,,292515.0,2020-04-27,Alaska,AK,republican
2020-08-14,4078.0,,291851.0,2020-04-27,Alaska,AK,republican
2020-08-13,3978.0,,290075.0,2020-04-27,Alaska,AK,republican
2020-08-12,3896.0,,288686.0,2020-04-27,Alaska,AK,republican
2020-08-11,3835.0,,286909.0,2020-04-27,Alaska,AK,republican
2020-08-10,3786.0,,276557.0,2020-04-27,Alaska,AK,republican
2020-08-09,3718.0,,274201.0,2020-04-27,Alaska,AK,republican
2020-08-08,3621.0,,269972.0,2020-04-27,Alaska,AK,republican
2020-08-07,3542.0,,265309.0,2020-04-27,Alaska,AK,republican
2020-08-06,3487.0,,258085.0,2020-04-27,Alaska,AK,republican
2020-08-05,3447.0,,253832.0,2020-04-27,Alaska,AK,republican
2020-08-04,3392.0,,249257.0,2020-04-27,Alaska,AK,republican
2020-08-03,3331.0,,242476.0,2020-04-27,Alaska,AK,republican
2020-08-02,3273.0,,239817.0,2020-04-27,Alaska,AK,republican
2020-08-01,3137.0,,235496.0,2020-04-27,Alaska,AK,republican
2020-07-31,2993.0,,230113.0,2020-04-27,Alaska,AK,republican
2020-07-30,2887.0,,222170.0,2020-04-27,Alaska,AK,republican
2020-07-29,2803.0,,220861.0,2020-04-27,Alaska,AK,republican
2020-07-28,2735.0,,211140.0,2020-04-27,Alaska,AK,republican
2020-07-27,2627.0,,204637.0,2020-04-27,Alaska,AK,republican
2020-07-26,2533.0,,204731.0,2020-04-27,Alaska,AK,republican
2020-07-25,2348.0,,202718.0,2020-04-27,Alaska,AK,republican
2020-07-24,2260.0,,198312.0,2020-04-27,Alaska,AK,republican
2020-07-23,2203.0,,187306.0,2020-04-27,Alaska,AK,republican
2020-07-22,2139.0,,183194.0,2020-04-27,Alaska,AK,republican
2020-07-21,2045.0,,176581.0,2020-04-27,Alaska,AK,republican
2020-07-20,1955.0,,173631.0,2020-04-27,Alaska,AK,republican
2020-07-19,1882.0,,171128.0,2020-04-27,Alaska,AK,republican
2020-07-18,1799.0,,166564.0,2020-04-27,Alaska,AK,republican
2020-07-17,1737.0,,163677.0,2020-04-27,Alaska,AK,republican
2020-07-16,1695.0,,161327.0,2020-04-27,Alaska,AK,republican
2020-07-15,1631.0,,154462.0,2020-04-27,Alaska,AK,republican
2020-07-14,1580.0,,147893.0,2020-04-27,Alaska,AK,republican
2020-07-13,1537.0,,145053.0,2020-04-27,Alaska,AK,republican
2020-07-12,1478.0,,143997.0,2020-04-27,Alaska,AK,republican
2020-07-11,1386.0,,141990.0,2020-04-27,Alaska,AK,republican
2020-07-10,1323.0,,140608.0,2020-04-27,Alaska,AK,republican
2020-07-09,1273.0,,134471.0,2020-04-27,Alaska,AK,republican
2020-07-08,1226.0,,132175.0,2020-04-27,Alaska,AK,republican
2020-07-07,1186.0,,130234.0,2020-04-27,Alaska,AK,republican
2020-07-06,1168.0,,122585.0,2020-04-27,Alaska,AK,republican
2020-07-05,1141.0,,122612.0,2020-04-27,Alaska,AK,republican
2020-07-04,1114.0,,121618.0,2020-04-27,Alaska,AK,republican
2020-07-03,1065.0,,119143.0,2020-04-27,Alaska,AK,republican
2020-07-02,1020.0,,114889.0,2020-04-27,Alaska,AK,republican
2020-07-01,982.0,,113418.0,2020-04-27,Alaska,AK,republican
2020-06-30,944.0,,111241.0,2020-04-27,Alaska,AK,republican
2020-06-29,908.0,,107801.0,2020-04-27,Alaska,AK,republican
2020-06-28,887.0,,107413.0,2020-04-27,Alaska,AK,republican
2020-06-27,858.0,,104723.0,2020-04-27,Alaska,AK,republican
2020-06-26,839.0,,100953.0,2020-04-27,Alaska,AK,republican
2020-06-25,821.0,,98631.0,2020-04-27,Alaska,AK,republican
2020-06-24,797.0,,95299.0,2020-04-27,Alaska,AK,republican
2020-06-23,783.0,,92164.0,2020-04-27,Alaska,AK,republican
2020-06-22,767.0,,90057.0,2020-04-27,Alaska,AK,republican
2020-06-21,761.0,,87290.0,2020-04-27,Alaska,AK,republican
2020-06-20,750.0,,86168.0,2020-04-27,Alaska,AK,republican
2020-06-19,729.0,,82902.0,2020-04-27,Alaska,AK,republican
2020-06-18,713.0,,80472.0,2020-04-27,Alaska,AK,republican
2020-06-17,701.0,,77008.0,2020-04-27,Alaska,AK,republican
2020-06-16,681.0,,75534.0,2020-04-27,Alaska,AK,republican
2020-06-15,668.0,,73769.0,2020-04-27,Alaska,AK,republican
2020-06-14,665.0,,72802.0,2020-04-27,Alaska,AK,republican
2020-06-13,656.0,,71147.0,2020-04-27,Alaska,AK,republican
2020-06-12,630.0,,70250.0,2020-04-27,Alaska,AK,republican
2020-06-11,616.0,,68395.0,2020-04-27,Alaska,AK,republican
2020-06-10,598.0,,67122.0,2020-04-27,Alaska,AK,republican
2020-06-09,578.0,,66312.0,2020-04-27,Alaska,AK,republican
